,ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음,등록번호,선거여론조사기관,조사의뢰자,조사방법new,표본추출틀,표본크기,응답률new,접촉률,표본오차,공표일시
29,30,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10146&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.4%,전화면접가상번호,42.2,42.5,-,7.3,7.6,9102,"한국갤럽조사연구소,",전국단위 신문 : 머니투데이,"[['무선전화면접', '89.4%'], ['유선전화면접', '10.6%']]","['통신사제공', 'RDD']",1005,22.4%,23.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 12시 00분
								"
30,31,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10146&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.4%,전화면접가상번호,39.2,40.6,9,2.1,7.6,9102,"한국갤럽조사연구소,",전국단위 신문 : 머니투데이,"[['무선전화면접', '89.4%'], ['유선전화면접', '10.6%']]","['통신사제공', 'RDD']",1005,22.4%,23.4%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 12시 00분
								"
31,32,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10145&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,20.9%,전화면접가상번호,36.6,42.3,6.7,2.9,10.6,9100,"(주)글로벌리서치,",방송사 : JTBC,"[['무선전화면접', '100%']]",['통신사제공'],1006,20.9%,21.1%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 16시 00분
								"
32,33,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10143&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.6%,ARSRDD,42.1,44.9,7,2.6,1.9,9098,"조원씨앤아이,",주·월간지 : 일요신문,"[['무선 ARS', '100%']]",['RDD'],1013,8.6%,22.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 15시 30분
								"
33,34,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15.5%,전화면접가상번호,37.9,44.2,8.9,2.1,5.3,9095,"케이에스오아이주식회사(한국사회여론연구소),",전국단위 신문 : 국민일보,"[['무선전화면접', '100%']]",['통신사제공'],1012,15.5%,27.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 05시 00분
								"
34,35,2022-02-26 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10139&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.9%,ARSRDD,42.4,45.3,7.3,1.7,2,9093,"조원씨앤아이,",기타 : 한국지방신문협회,"[['무선 ARS', '100%']]",['RDD'],3004,9.9%,19.4%,95%신뢰수준에±1.8%P,"
								
									
									
								
								  2022-03-02 16시 30분
								"
35,36,2022-02-26 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10136&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.8%,ARSRDD,42.5,46.5,6.4,2.1,1.2,9090,"PNR-(주)피플네트웍스,",인터넷언론 : 뉴데일리,"[['무선 ARS', '90%'], ['유선 ARS', '10%']]","['RDD', 'RDD']",4014,7.8%,31.5%,95%신뢰수준에±1.5%P,"
								
									
									
								
								  2022-03-02 13시 50분
								"
36,37,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,38.4,-,29.7,3.9,20.1,9089,"(주)리얼미터,",통신사 : 뉴시스,"[['유선 ARS', '5%'], ['무선 ARS', '95%']]","['RDD', 'RDD']",1007,10.4%,19.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 05시 00분
								"
37,38,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,43.5,48.4,-,2.8,4,9089,"(주)리얼미터,",통신사 : 뉴시스,"[['유선 ARS', '5%'], ['무선 ARS', '95%']]","['RDD', 'RDD']",1007,10.4%,19.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 05시 00분
								"
38,39,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10135&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.4%,ARSRDD,43.1,46.3,6.7,1.9,1.2,9089,"(주)리얼미터,",통신사 : 뉴시스,"[['유선 ARS', '5%'], ['무선 ARS', '95%']]","['RDD', 'RDD']",1007,10.4%,19.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 05시 00분
								"
