ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음
69,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10076&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15.6%,전화면접RDD,41.1,44.8,-,5.1,8.3
70,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10076&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,15.6%,전화면접RDD,39.4,40.2,9.4,3.3,5.1
71,2022-02-23 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10075&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,39.3,45.8,6.9,3.2,2.1
72,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10073&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,19.9%,전화면접가상번호,39.6,41.9,7.8,2.5,6.9
73,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10071&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARSRDD,44.2,45.3,-,-,3.4
74,2022-02-22 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10071&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.9%,ARSRDD,42.2,43.2,6.2,2.4,2.3
75,2022-02-21 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10074&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,25.9%,전화면접가상번호,37,39,9,3,11
76,2022-02-20 ~ 2022-02-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10072&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11.3%,ARSRDD,40.5,41.9,6.8,2.6,6.3
77,2022-02-10 ~ 2022-02-11,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10068&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.6%,,31.6,28.6,15.9,5.4,-
78,2022-02-21 ~ 2022-02-22,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10063&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.2%,전화면접가상번호,40.5,-,40.3,7,10.7
79,2022-02-21 ~ 2022-02-22,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10063&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.2%,전화면접가상번호,39.9,44.7,-,7,7.3
80,2022-02-21 ~ 2022-02-22,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10063&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,17.2%,전화면접가상번호,38.3,39,9.5,3,8.7
81,2022-02-18 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10030&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,2.1%,ARSRDD,40.6,43.4,6.9,4,2.6
82,2022-02-19 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10056&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.7%,ARSRDD,42.1,43.6,5.9,2.2,3.8
83,2022-02-21 ~ 2022-02-21,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10045&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.6%,ARSRDD,39.5,44,7.5,3.1,2.5
84,2022-02-19 ~ 2022-02-21,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10041&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7.8%,ARSRDD,42.6,42.7,6.5,1.2,3.9
85,2022-02-19 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10026&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,8.6%,ARS가상번호,41.9,44.4,6.2,2.9,2.8
86,2022-02-19 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10033&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,18.3%,전화면접가상번호,34.6,-,32,7.8,19.9
87,2022-02-19 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10033&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,18.3%,전화면접가상번호,36.7,44.8,-,6.6,9.6
88,2022-02-19 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10033&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,18.3%,전화면접가상번호,34.1,42.4,6.6,3.2,11.9
89,2022-02-20 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10025&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.8%,ARSRDD,34.7,-,39.8,3,12.6
90,2022-02-20 ~ 2022-02-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10025&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.8%,ARSRDD,41.4,48.7,-,2.5,4.5
