ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음
620,2021-11-01 ~ 2021-11-03,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9203&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,30.1%,전화면접가상번호,28,-,12,7,32
621,2021-11-01 ~ 2021-11-03,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9203&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,30.1%,전화면접가상번호,30,35,7,6,20
622,2021-11-01 ~ 2021-11-03,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9203&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,30.1%,전화면접가상번호,27,-,8,6,23
623,2021-10-30 ~ 2021-11-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9199&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,30.5,-,6.7,4.2,15.4
624,2021-10-30 ~ 2021-11-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9199&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,30.7,-,6.5,4.7,17.6
625,2021-10-30 ~ 2021-11-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9199&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,30.1,-,4,4.7,13.9
626,2021-10-30 ~ 2021-11-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9199&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5%,ARSRDD,31.2,36.3,2.4,4.4,9.5
627,2021-10-30 ~ 2021-10-31,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9192&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7%,ARS가상번호,31.1,-,4.5,4.6,12.8
628,2021-10-30 ~ 2021-10-31,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9192&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,7%,ARS가상번호,30.8,35.1,3.1,4.4,10
629,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9196&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.6%,ARSRDD,31.5,-,8,3.9,21.9
630,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9196&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.6%,ARSRDD,30.6,-,8.2,3.7,25.2
631,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9196&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.6%,ARSRDD,30.2,-,5.2,3.4,17.7
632,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9196&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.6%,ARSRDD,30.4,36.8,4.7,2.6,15
633,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9189&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,15.6%,전화면접가상번호,28.2,-,6.7,6.2,19
634,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9189&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,15.6%,전화면접가상번호,30.5,32.9,6.1,6.4,18.8
635,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9189&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,15.6%,전화면접가상번호,29.5,-,10.1,6.2,27.9
636,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9189&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,15.6%,전화면접가상번호,30.7,-,9.2,6.9,25.6
637,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9191&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.3%,ARS가상번호,35.2,-,-,-,9.2
638,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9191&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.3%,ARS가상번호,36.5,36.6,-,-,8.4
639,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9191&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.3%,ARS가상번호,33.2,-,4,2.9,11.6
640,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9191&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.3%,ARS가상번호,33.2,32.4,2.5,2.3,9.5
641,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9188&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.6%,ARSRDD,33.3,-,-,-,15.8
642,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9188&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.6%,ARSRDD,32.1,-,-,-,19.7
643,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9188&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.6%,ARSRDD,30.9,-,-,-,14.6
644,2021-10-29 ~ 2021-10-30,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9188&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.6%,ARSRDD,31.6,42.4,-,-,7.9
645,2021-10-28 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.1%,ARSRDD,30.4,-,3.8,4.2,12.6
646,2021-10-28 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.1%,ARSRDD,31.5,37.3,2.9,4.6,8.9
647,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,31.8,-,8.6,7,15.2
648,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,33,30.7,10.5,7.4,15.5
649,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,40,-,-,-,21.8
650,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,37,-,-,-,25.5
651,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,35.6,-,-,-,17.4
652,2021-10-26 ~ 2021-10-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9182&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.4%,전화면접가상번호,37.5,35.4,-,-,19.5
653,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,6.8%,ARS가상번호,34.2,-,3.9,5.9,8.7
654,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,6.8%,ARS가상번호,33.9,31.5,2.8,4.5,9.8
655,2021-10-25 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9173&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,27.9%,전화면접가상번호,34,-,9,7,20
656,2021-10-25 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9173&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,27.9%,전화면접가상번호,35,28,8,6,20
657,2021-10-25 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9173&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,27.9%,전화면접가상번호,35,-,13,8,26
658,2021-10-25 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9173&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,27.9%,전화면접가상번호,35,-,10,7,24
659,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9172&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,2.7%,ARSRDD,38.1,-,4.1,3.7,14.1
660,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9172&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,2.7%,ARSRDD,37.7,29.5,2.3,4.2,11.6
661,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9169&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.2%,ARSRDD,33.2,-,5,5.3,25.5
662,2021-10-26 ~ 2021-10-27,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9169&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.2%,ARSRDD,32.5,34.9,4.5,4.4,23.6
663,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,38.9,-,-,-,16.7
664,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,40.9,45.3,-,-,13.9
665,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,40,-,-,-,24
666,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,40.1,-,-,-,16
667,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,34.3,-,5.7,5.1,14.5
668,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,5.4%,ARSRDD,34.6,34.4,4,4.4,9.9
669,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,17.6%,전화면접가상번호,41.9,-,-,-,18.6
670,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,17.6%,전화면접가상번호,45.8,35.7,-,-,18.2
671,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,17.6%,전화면접가상번호,41.6,-,-,-,29.7
672,2021-10-25 ~ 2021-10-26,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,17.6%,전화면접가상번호,45.8,-,-,-,23.6
673,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9160&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,2.7%,ARSRDD,34.7,-,-,-,7.2
674,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9160&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,2.7%,ARSRDD,38.2,46.7,-,-,5.5
675,2021-10-23 ~ 2021-10-25,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9166&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,3%,ARSRDD,32.5,-,3.9,3.8,7.8
676,2021-10-23 ~ 2021-10-25,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9166&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,3%,ARSRDD,33.8,37.4,4.2,3.5,6.6
677,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9162&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=3,6.6%,ARS가상번호,40.6,-,-,-,4.4
678,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9162&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=3,6.6%,ARS가상번호,43.7,40.6,-,-,4.8
679,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9162&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=3,6.6%,ARS가상번호,38.9,-,-,-,7.3
680,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9162&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=3,6.6%,ARS가상번호,40.2,-,-,-,6.2
681,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,39.3,-,-,-,9.3
682,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,39.9,-,-,-,12.3
683,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,35.3,-,-,-,7.4
684,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.1%,ARSRDD,39.1,45.9,-,-,6.2
685,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,34.9,-,5.2,6.3,16.2
686,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,37.3,31.1,7.2,6.2,16.3
687,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,36.3,-,11.5,7.1,22.6
688,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,37.2,-,8.5,5.7,20.3
689,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,38.6,-,-,-,15.6
690,2021-10-23 ~ 2021-10-24,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9158&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,22.7%,전화면접가상번호,42.7,38.7,-,-,16.3
691,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9157&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.9%,ARS가상번호,33.2,-,3.6,4.6,10.6
692,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9157&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.9%,ARS가상번호,33.6,30,2.8,3.4,9.6
693,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9157&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.9%,ARS가상번호,36.7,-,-,-,8.1
694,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9157&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,6.9%,ARS가상번호,37.5,33.6,-,-,7.8
695,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9156&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.4%,ARSRDD,37.7,-,-,-,13.1
696,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9156&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.4%,ARSRDD,34.9,-,-,-,17.3
697,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9156&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.4%,ARSRDD,37.6,-,-,-,10.4
698,2021-10-22 ~ 2021-10-23,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9156&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.4%,ARSRDD,36.5,41.8,-,-,6.3
699,2021-10-19 ~ 2021-10-21,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9149&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.1%,전화면접RDD,33,-,10,8,20
700,2021-10-19 ~ 2021-10-21,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9149&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,13.1%,전화면접RDD,34,31,9,7,19
701,2021-10-19 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.3%,전화면접RDD,31.3,-,6.3,6.6,16.2
702,2021-10-19 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.3%,전화면접RDD,31.3,-,6.3,6.6,16.2
703,2021-10-19 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.3%,전화면접RDD,34,-,-,-,17.1
704,2021-10-19 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.3%,전화면접RDD,32,30.4,6.4,6.4,14.4
705,2021-10-19 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.3%,전화면접RDD,34.8,34.5,-,-,16.2
706,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9140&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,28.9%,전화면접가상번호,35,-,8,6,16
707,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9140&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,28.9%,전화면접가상번호,35,34,7,6,15
708,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9140&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,28.9%,전화면접가상번호,34,-,13,6,24
709,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9140&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,28.9%,전화면접가상번호,36,-,11,6,21
710,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9142&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.4%,ARSRDD,33,-,-,-,17
711,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9142&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.4%,ARSRDD,30.6,-,-,-,19.8
712,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9142&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.4%,ARSRDD,32.5,43.4,-,-,12.4
713,2021-10-18 ~ 2021-10-20,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9142&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,3.4%,ARSRDD,30.9,-,-,-,15.4
714,2021-10-15 ~ 2021-10-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9126&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.2%,ARSRDD,38.8,-,-,-,11.9
715,2021-10-15 ~ 2021-10-16,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=9126&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.2%,ARSRDD,37.9,-,-,-,14.5
